Staten Island Rolling Sales File.  All Sales From August 2012 - August 2013. ,,,,,,,,,,,,,,,,,,,,
Sales File as of 08/30/2013  Coop Sales Files as of 09/18/2013,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 09/06/13, Descriptive Data is as of 06/01/13",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,"APART
MENT
NUMBER",ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,32, ,A1, 541 SYCAMORE STREET                       ,            ,10312,1,0,1,"13,320","4,696",1985, 1 , A1 ,"$1,200,000",8/15/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5401,10, ,A2, 16 JANSEN STREET                          ,            ,10312,1,0,1,"10,800","2,015",1980, 1 , A2 ,"$705,000",2/8/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5401,38, ,A1, 27 WEAVER STREET                          ,            ,10312,1,0,1,"10,833","2,128",1980, 1 , A1 ,"$127,500",9/26/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,11, ,A1, 24 ELMBANK STREET                         ,            ,10312,1,0,1,"5,000","1,520",1910, 1 , A1 ,"$237,276",11/29/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5425,39, ,A1, 23 SANDGAP STREET                         ,            ,10312,1,0,1,"2,700",684,1950, 1 , A1 ,"$200,500",5/13/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,16, ,A5, 93 EAGAN AVENUE                           ,            ,10312,1,0,1,"1,546","1,579",1986, 1 , A5 ,"$348,000",6/20/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,55, ,A5, 36 SEGUINE PLACE                          ,            ,10312,1,0,1,"1,471","1,068",1986, 1 , A5 ,$0,2/15/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6205,126, ,A5, 20 MAY PLACE                              ,            ,10312,1,0,1,"2,475","2,495",1986, 1 , A5 ,"$380,000",8/16/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6211,20, ,A5, 9 EAGAN AVENUE                            ,            ,10312,1,0,1,"1,508","1,521",1986, 1 , A5 ,"$358,000",6/17/2013
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,28, ,A1, 96 JEANNETTE AVENUE                       ,            ,10312,1,0,1,"5,400","2,376",1970, 1 , A1 ,"$535,000",12/6/2012
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,6212,44, ,A5, 50 LUCY LOOP                              ,            ,10312,1,0,1,"2,700","2,200",2000, 1 , A5 ,$0,2/4/2013
