"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apart.ment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"1",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",5395,32," ","A1","541 SYCAMORE STREET                      ","            ",10312,1,0,1,"13,320","4,696",1985,1,"A1","$1,200,000",2012-08-15,1200000,4696,13320,0
"2",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",5401,10," ","A2","16 JANSEN STREET                         ","            ",10312,1,0,1,"10,800","2,015",1980,1,"A2","$705,000",2013-02-08,705000,2015,10800,0
"3",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",5401,38," ","A1","27 WEAVER STREET                         ","            ",10312,1,0,1,"10,833","2,128",1980,1,"A1","$127,500",2012-09-26,127500,2128,10833,0
"4",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",5407,11," ","A1","24 ELMBANK STREET                        ","            ",10312,1,0,1,"5,000","1,520",1910,1,"A1","$237,276",2012-11-29,237276,1520,5000,0
"5",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",5425,39," ","A1","23 SANDGAP STREET                        ","            ",10312,1,0,1,"2,700","684",1950,1,"A1","$200,500",2013-05-13,200500,684,2700,0
"6",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6205,16," ","A5","93 EAGAN AVENUE                          ","            ",10312,1,0,1,"1,546","1,579",1986,1,"A5","$348,000",2013-06-20,348000,1579,1546,0
"8",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6205,126," ","A5","20 MAY PLACE                             ","            ",10312,1,0,1,"2,475","2,495",1986,1,"A5","$380,000",2012-08-16,380000,2495,2475,0
"9",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6211,20," ","A5","9 EAGAN AVENUE                           ","            ",10312,1,0,1,"1,508","1,521",1986,1,"A5","$358,000",2013-06-17,358000,1521,1508,0
"10",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6212,28," ","A1","96 JEANNETTE AVENUE                      ","            ",10312,1,0,1,"5,400","2,376",1970,1,"A1","$535,000",2012-12-06,535000,2376,5400,0
"15",5,"ANNADALE                 ","01  ONE FAMILY HOMES                        ","1",6219,16," ","A5","94 LORRAINE AVENUE                       ","            ",10312,1,0,1,"1,650","2,285",2004,1,"A5","$400,000",2013-05-06,4e+05,2285,1650,0
